title,genre,director,cast
It's What's Inside,"Comedy, Horror, Mystery",Greg Jardin,"Brittany O'Grady, James Morosini, Alycia Debnam-Carey, Devon Terrell"
Mute,"Mystery, Sci-Fi, Thriller",Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux, Levi Eisenblätter"
Careful What You Wish For,"Drama, Thriller",Elizabeth Allen Rosenbaum,"Nick Jonas, Kiki Harris, David Sherrill, Graham Rogers"
Florence Foster Jenkins,"Biography, Comedy, Drama",Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson"
Pontypool,"Horror, Sci-Fi",Bruce McDonald,"Stephen McHattie, Lisa Houle, Georgina Reilly, Hrant Alianak"
Black Beauty,"Drama, Family",Ashley Avis,"Kate Winslet, Mackenzie Foy, Iain Glen, Calam Lynch"
Misconduct,"Crime, Drama, Mystery",Shintaro Shimosawa,"Josh Duhamel, Anthony Hopkins, Al Pacino, Alice Eve"
Persischstunden,"Drama, War",Vadim Perelman,"Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay, David Schütter"
Death Sentence,"Action, Crime, Thriller",James Wan,"Kevin Bacon, John Goodman, Kelly Preston, Garrett Hedlund"
Captain Ron,"Adventure, Comedy",Thom Eberhardt,"Kurt Russell, Martin Short, Mary Kay Place, Benjamin Salisbury"
The Big Doll House,"Action, Drama, Thriller",Jack Hill,"Roberta Collins, Pam Grier, Judith Brown, Brooke Mills"
Bent,"Action, Crime, Drama",Bobby Moresco,"Karl Urban, Sofía Vergara, Andy Garcia, Vincent Spano"
Chances Are,"Comedy, Fantasy, Romance",Emile Ardolino,"Cybill Shepherd, Robert Downey Jr., Ryan O'Neal, Mary Stuart Masterson"
Duck Butter,"Comedy, Drama, Romance",Miguel Arteta,"Alia Shawkat, Drew Langer, Marc Maron, Mark Duplass"
Once Bitten,"Comedy, Horror",Howard Storm,"Lauren Hutton, Jim Carrey, Karen Kopins, Cleavon Little"
Caveman,"Comedy, Romance",Carl Gottlieb,"Ringo Starr, Dennis Quaid, Shelley Long, Jack Gilford"
How to Talk to Girls at Parties,"Comedy, Music, Romance",John Cameron Mitchell,"Elle Fanning, Alex Sharp, Nicole Kidman, Matt Lucas"
Hands of Stone,"Biography, Drama, Sport",Jonathan Jakubowicz,"Edgar Ramírez, Usher, Robert De Niro, Rubén Blades"
Last Man Down,"Action, Sci-Fi",Fansu Njie,"Daniel Stisen, Olga Kent, Daniel Nehme, Stanislav Yanevski"
Drillbit Taylor,"Action, Comedy, Crime",Steven Brill,"Owen Wilson, Josh Peck, Alex Frost, Nate Hartley"
Europa: The Last Battle,"Documentary, History, War",Tobias B.,"Muhammad Ali, Winston Churchill, Henry Ford, Joseph Goebbels"
Romancham,"Comedy, Horror",Jithu Madhavan,"Soubin Shahir, Arjun Ashokan, Chemban Vinod Jose, Sajin Gopu"
Searching for Bobby Fischer,"Biography, Drama, Sport",Steven Zaillian,"Joe Mantegna, Ben Kingsley, Max Pomeranc, Joan Allen"
Anomalisa,"Animation, Comedy, Drama",Duke Johnson,"Charlie Kaufman, David Thewlis, Jennifer Jason Leigh, Tom Noonan"
Lik wong,"Action, Comedy, Crime",Ngai Choi Lam,"Siu-Wong Fan, Mei Sheng Fan, Ka-Kui Ho, Yukari Ôshima"
Harry Brown,"Action, Crime, Drama",Daniel Barber,"Michael Caine, Emily Mortimer, David Bradley, Charlie Creed-Miles"
Bat*21,"Drama, War",Peter Markle,"Gene Hackman, Danny Glover, Jerry Reed, David Marshall Grant"
How to Blow Up a Pipeline,"Action, Crime, Drama",Daniel Goldhaber,"Ariela Barer, Kristine Froseth, Lukas Gage, Forrest Goodluck"
Pensati sexy,"Comedy, Romance",Michela Andreozzi,"Diana Del Bufalo, Valentina Nappi, Alessandro Tiberi, Raoul Bova"
Picture Perfect,"Comedy, Drama, Romance",Glenn Gordon Caron,"Jennifer Aniston, Jay Mohr, Kevin Bacon, Olympia Dukakis"
Un beau matin,"Drama, Romance",Mia Hansen-Løve,"Léa Seydoux, Pascal Greggory, Melvil Poupaud, Nicole Garcia"
Inside Man,"Crime, Drama, Thriller",Danny A. Abeckaser,"Emile Hirsch, Jake Cannavale, Lucy Hale, Ashley Greene"
Les fruits de la passion,Drama,Shûji Terayama,"Klaus Kinski, Isabelle Illiers, Arielle Dombasle, Pîtâ"
The Gauntlet,"Action, Crime, Thriller",Clint Eastwood,"Clint Eastwood, Sondra Locke, Pat Hingle, William Prince"
Ice Princess,"Comedy, Drama, Family",Tim Fywell,"Michelle Trachtenberg, Kim Cattrall, Trevor Blumas, Joan Cusack"
DarkGame,"Horror, Thriller",Howard J. Ford,"Ed Westwick, Andrew P Stephen, Natalya Tsvetkova, Lola Wayne"
Ticker,"Action, Crime, Thriller",Albert Pyun,"Tom Sizemore, Dennis Hopper, Steven Seagal, Jaime Pressly"
Black Water,"Adventure, Drama, Horror",David Nerlich,"Andrew Traucki, Diana Glenn, Maeve Dermody, Andy Rodoreda, Ben Oxenbould"
Fatherhood,"Comedy, Drama",Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise"
The Good Mother,"Crime, Drama, Mystery",Miles Joris-Peyrafitte,"Hilary Swank, Olivia Cooke, Jack Reynor, Dilone"
Cinderella's Revenge,"Drama, Fantasy, Horror",Andy Edwards,"Lauren Staerck, Natasha Henstridge, Stephanie Lodge, Beatrice Fletcher"
The Golden Voyage of Sinbad,"Action, Adventure, Fantasy",Gordon Hessler,"John Phillip Law, Caroline Munro, Tom Baker, Douglas Wilmer"
Ghost Story,"Drama, Horror, Thriller",John Irvin,"Craig Wasson, Alice Krige, Fred Astaire, John Houseman"
The Fifth Estate,"Biography, Crime, Drama",Bill Condon,"Benedict Cumberbatch, Daniel Brühl, Carice van Houten, Alicia Vikander"
Tequila Sunrise,"Crime, Drama, Romance",Robert Towne,"Mel Gibson, Michelle Pfeiffer, Kurt Russell, Raul Julia"
Greedy People,"Comedy, Crime",Potsy Ponciroli,"Lily James, Traci Lords, Joseph Gordon-Levitt, Jim Gaffigan"
Knights of Badassdom,"Action, Adventure, Comedy",Joe Lynch,"Ryan Kwanten, Steve Zahn, Peter Dinklage, Summer Glau"
The Medallion,"Action, Comedy, Fantasy",Gordon Chan,"Jackie Chan, Lee Evans, Claire Forlani, Julian Sands"
Shin Evangelion Gekijôban,"Animation, Action, Drama",Mahiro Maeda,"Katsuichi Nakayama, Kazuya Tsurumaki, Hideaki Anno, Joe Fria, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Akira Ishida"
I Used to Be Famous,"Comedy, Drama, Music",Eddie Sternberg,"Ed Skrein, Eleanor Matsuura, Leo Long, Eoin Macken"
Sarfarosh,"Action, Crime, Drama",John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi"
The Changeover,"Fantasy, Horror, Thriller",Miranda Harcourt,"Stuart McKenzie, Timothy Spall, Melanie Lynskey, Lucy Lawless, Nicholas Galitzine"
Finding 'Ohana,"Action, Adventure, Comedy",Jude Weng,"Kea Peahu, Alex Aiono, Lindsay Watson, Owen Vaccaro"
Dark Blue,"Crime, Drama, Thriller",Ron Shelton,"Kurt Russell, Ving Rhames, Scott Speedman, Michael Michele"
A Civil Action,"Biography, Drama",Steven Zaillian,"John Travolta, Robert Duvall, Kathleen Quinlan, Tony Shalhoub"
The One I Love,"Comedy, Drama, Fantasy",Charlie McDowell,"Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason"
Creep 2,"Crime, Drama, Horror",Patrick Brice,"Karan Soni, Mark Duplass, Desiree Akhavan, Kyle Field"
Divorce Bait,"Comedy, Romance",Patrick Perez Vidauri,"Vannessa Vasquez, Justin Berti, Erik Fellows, Jennifer Daley"
The Outwaters,"Horror, Sci-Fi, Thriller",Robbie Banfitch,"Robbie Banfitch, Angela Basolis, Scott Schamell, Michelle May"
She's Funny That Way,"Comedy, Drama",Peter Bogdanovich,"Imogen Poots, Owen Wilson, Jennifer Aniston, Kathryn Hahn"
Jui kuen,"Action, Comedy",Woo-Ping Yuen,"Jackie Chan, Siu-Tin Yuen, Jeong-lee Hwang, Dean Shek"
It Came from Outer Space,"Horror, Sci-Fi",Jack Arnold,"Richard Carlson, Barbara Rush, Charles Drake, Joe Sawyer"
Devil's Knot,"Biography, Crime, Drama",Atom Egoyan,"Colin Firth, Reese Witherspoon, Alessandro Nivola, James Hamrick"
Moonwalker,"Action, Crime, Fantasy",Jerry Kramer,"Jim Blashfield, Colin Chilvers, Michael Jackson, Joe Pesci, Sean Lennon, Kelley Parker"
Samsara,"Documentary, Music",Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika"
Victory,"Drama, Sport, War",John Huston,"Michael Caine, Sylvester Stallone, Pelé, Bobby Moore"
The Informers,"Crime, Drama, Thriller",Gregor Jordan,"Billy Bob Thornton, Kim Basinger, Mickey Rourke, Jon Foster"
Drumline,"Comedy, Drama, Music",Charles Stone III,"Nick Cannon, Zoe Saldana, Orlando Jones, Leonard Roberts"
His Three Daughters,Drama,Azazel Jacobs,"Natasha Lyonne, Elizabeth Olsen, Carrie Coon, Jovan Adepo"
La passion de Jeanne d'Arc,"Biography, Drama, History",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"
Charlie St. Cloud,"Drama, Fantasy, Romance",Burr Steers,"Zac Efron, Kim Basinger, Charlie Tahan, Amanda Crew"
The Unlikely Pilgrimage of Harold Fry,Drama,Hettie Macdonald,"Jim Broadbent, Penelope Wilton, Earl Cave, Linda Bassett"
Feuchtgebiete,"Comedy, Drama",David Wnendt,"Carla Juri, Christoph Letkowski, Marlen Kruse, Meret Becker"
The Iron Lady,"Biography, Drama",Phyllida Lloyd,"Meryl Streep, Jim Broadbent, Richard E. Grant, Susan Brown"
The Blood on Satan's Claw,Horror,Piers Haggard,"Patrick Wymark, Linda Hayden, Barry Andrews, Michele Dotrice"
The Merchant of Venice,"Drama, Romance",Michael Radford,"Al Pacino, Joseph Fiennes, Lynn Collins, Jeremy Irons"
Paradise City,"Action, Thriller",Chuck Russell,"Bruce Willis, John Travolta, Stephen Dorff, Blake Jenner"
"Faster, Pussycat! Kill! Kill!","Action, Comedy",Russ Meyer,"Tura Satana, Haji, Lori Williams, Ray Barlow"
Johnny Got His Gun,"Drama, War",Dalton Trumbo,"Timothy Bottoms, Kathy Fields, Marsha Hunt, Jason Robards"
Himlen är oskyldigt blå,Drama,Hannes Holm,"Bill Skarsgård, Peter Dalle, Josefin Ljungman, Amanda Ooms"
Antwone Fisher,"Biography, Drama",Denzel Washington,"Denzel Washington, Derek Luke, Joy Bryant, Malcolm David Kelley"
Petite maman,"Drama, Fantasy",Céline Sciamma,"Joséphine Sanz, Gabrielle Sanz, Nina Meurisse, Stéphane Varupenne"
The World's Greatest Sinner,Drama,Timothy Carey,"Timothy Carey, Gil Barreto, Betty Rowland, James Farley"
Inmineul wihae bongmuhara,"Drama, Romance",Cheol-soo Jang,"Yeon Woo-jin, Jee An, Jo Sung-ha, Ji-chul Kim"
The Four Musketeers,"Action, Adventure, Romance",Richard Lester,"Michael York, Raquel Welch, Oliver Reed, Richard Chamberlain"
The Hummingbird Project,"Drama, Thriller",Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando"
The Prince & Me,"Comedy, Family, Romance",Martha Coolidge,"Julia Stiles, Luke Mably, Miranda Richardson, Ben Miller"
"Les Olympiades, Paris 13e","Comedy, Drama, Romance",Jacques Audiard,"Lucie Zhang, Makita Samba, Noémie Merlant, Jehnny Beth"
How to Lose Friends & Alienate People,"Biography, Comedy, Drama",Robert B. Weide,"Simon Pegg, Kirsten Dunst, Megan Fox, Kelan Guy"
Den skyldige,"Crime, Drama, Thriller",Gustav Möller,"Jakob Cedergren, Jessica Dinnage, Omar Shargawi, Johan Gotthardt Olsen"
Starred Up,"Crime, Drama, Thriller",David Mackenzie,"Jack O'Connell, Ben Mendelsohn, Rupert Friend, Sam Spruell"
Cheaper by the Dozen,"Comedy, Family",Gail Lerner,"Gabrielle Union, Zach Braff, Erika Christensen, Timon Kyle Durrett"
Dreamscape,"Action, Adventure, Horror",Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer, Eddie Albert"
Panggonan Wingit,"Horror, Thriller",Guntur Soeharjanto,"Luna Maya, Christian Sugiono, Bianca Hello, Egy Fedly"
Battlestar Galactica,"Action, Adventure, Sci-Fi",Richard A. Colla,"Alan J. Levi, Richard Hatch, Dirk Benedict, Lorne Greene, Herbert Jefferson Jr."
Zatôichi,"Action, Comedy, Crime",Takeshi Kitano,"Takeshi Kitano, Tadanobu Asano, Yui Natsukawa, Michiyo Yasuda"
The Caller,Thriller,Geena Hernandez,"Andrea Pazmino, Jose Eduardo Ramos, Katelin Chesna, Cheryl Pickett"
Nim's Island,"Adventure, Family, Fantasy",Jennifer Flackett,"Mark Levin, Jodie Foster, Gerard Butler, Abigail Breslin, Michael Carman"
Istanbul Için Son Çagri,"Drama, Romance",Gonenc Uyanik,"Kivanç Tatlitug, Beren Saat, Shayan Ardalan, John Bradford"
The Courier,"Action, Crime, Drama",Zackary Adler,"Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson"
Teen Lust,"Comedy, Horror",Blaine Thurier,"Jesse Carere, Daryl Sabara, Annie Clark, Jon Dore"
Peter Pan's Neverland Nightmare,"Adventure, Fantasy, Horror",Scott Chambers,"Chrissie Wunna, Peter DeSouza-Feighoney, Megan Placito, Charlotte Jackson Coleman"
Les yeux sans visage,"Drama, Horror",Georges Franju,"Pierre Brasseur, Alida Valli, Juliette Mayniel, Alexandre Rignault"
Extreme Movie,Comedy,Adam Jay Epstein,"Andrew Jacobson, Frankie Muniz, Michael Cera, Ashley Schneider, Patrick J. Adams"
The Hungover Games,"Adventure, Comedy, Fantasy",Josh Stolberg,"Ben Begley, Herbert Russell, Ross Nathan, Sam Pancake"
Innocent Blood,"Action, Comedy, Crime",John Landis,"Anne Parillaud, Anthony LaPaglia, Robert Loggia, David Proval"
Breakin' 2: Electric Boogaloo,"Comedy, Drama, Musical",Sam Firstenberg,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Susie Coelho"
Nasty,Documentary,Tudor Giurgiu,"Cristian Pascariu, Tudor D. Popescu, Ilie Nastase, Ion Tiriac, Jimmy Connors, Stan Smith"
"Ribâ, nagarenaide yo","Comedy, Fantasy, Sci-Fi",Junta Yamaguchi,"Riko Fujitani, Manami Honjô, Gôta Ishida, Yoshimasa Kondô"
Sisters,"Horror, Mystery, Thriller",Brian De Palma,"Margot Kidder, Jennifer Salt, Charles Durning, William Finley"
Kajillionaire,"Comedy, Crime, Drama",Miranda July,"Richard Jenkins, Debra Winger, Evan Rachel Wood, Patricia Belcher"
The Wood,"Comedy, Drama, Romance",Rick Famuyiwa,"Elayn J. Taylor, Omar Epps, Richard T. Jones, Sean Nelson"
Watching the Detectives,"Comedy, Romance",Paul Soter,"Cillian Murphy, Lucy Liu, Jason Sudeikis, Michael Panes"
88 Minutes,"Crime, Drama, Mystery",Jon Avnet,"Al Pacino, Alicia Witt, Ben McKenzie, Leelee Sobieski"
Afterburn,"Comedy, Sci-Fi",J.J. Perry,"Samuel L. Jackson, Olga Kurylenko, Dave Bautista, Kristofer Hivju"
Malicious,Thriller,John Fallon,"Kevin Interdonato, Nick Baillie, Melissa Anschutz, Alix Lane"
White Noise,"Drama, Horror, Mystery",Geoffrey Sax,"Michael Keaton, Deborah Kara Unger, Ian McNeice, Chandra West"
Let Them All Talk,"Comedy, Drama",Steven Soderbergh,"Meryl Streep, Gemma Chan, Dianne Wiest, Christopher Fitzgerald"
China O'Brien,"Action, Crime, Drama",Robert Clouse,"Cynthia Rothrock, Richard Norton, Keith Cooke, Doug Wright"
Teenage Mutant Ninja Turtles: Mutant Mayhem 2,"Animation, Action, Adventure",Jeff Rowe,"Yashar Kassai, Kyler Spears, Iñaki Godoy, Derek Wilson"
Les diaboliques,"Crime, Drama, Horror",Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel"
View from the Top,"Comedy, Romance",Bruno Barreto,"Gwyneth Paltrow, Christina Applegate, Kelly Preston, Mark Ruffalo"
De Sade 70,"Drama, Horror",Jesús Franco,"Maria Rohm, Marie Liljedahl, Jack Taylor, Christopher Lee"
Chaos,"Action, Crime, Drama",Tony Giglio,"Jason Statham, Ryan Phillippe, Wesley Snipes, Henry Czerny"
Black Christmas,Horror,Glen Morgan,"Michelle Trachtenberg, Mary Elizabeth Winstead, Lacey Chabert, Katie Cassidy"
The Poison Rose,"Crime, Mystery, Thriller",Francesco Cinquemani,"George Gallo, John Travolta, Morgan Freeman, Brendan Fraser, Famke Janssen"
Bad Hombres,"Crime, Thriller",John Stalberg Jr.,"Diego Tinoco, Hemky Madera, Thomas Jane, Luke Hemsworth"
Trash Humpers,"Comedy, Drama, Horror",Harmony Korine,"Rachel Korine, Brian Kotzur, Travis Nicholson, Harmony Korine"
Tayuan,Drama,Topel Lee,"Angeli Khang, Stephanie Raz, Chester Grecia, Francine Garcia"
Overdrive,"Action, Adventure, Crime",Antonio Negret,"Scott Eastwood, Freddie Thorp, Ana de Armas, Gaia Weiss"
The Physician,"Adventure, Drama, History",Philipp Stölzl,"Tom Payne, Stellan Skarsgård, Olivier Martinez, Emma Rigby"
The Rocker,"Comedy, Music",Peter Cattaneo,"Rainn Wilson, Josh Gad, Christina Applegate, Teddy Geiger"
Next of Kin,"Action, Crime, Drama",John Irvin,"Patrick Swayze, Liam Neeson, Adam Baldwin, Helen Hunt"
The Man from Snowy River,"Adventure, Drama, Romance",George Miller,"Kirk Douglas, Tom Burlinson, Terence Donovan, Tommy Dysart"
Chernobyl,"Drama, History",Danila Kozlovskiy,"Danila Kozlovskiy, Oksana Akinshina, Filipp Avdeev, Ravshana Kurkova"
The Dentist,"Horror, Thriller",Brian Yuzna,"Corbin Bernsen, Linda Hoffman, Michael Stadvec, Ken Foree"
Giant,"Drama, Sport",Rowan Athale,"Pierce Brosnan, Amir El-Masry, Austin Haynes, Asan N'Jie"
Archive,"Drama, Mystery, Sci-Fi",Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra, Peter Ferdinando"
Red Planet,"Action, Sci-Fi, Thriller",Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore, Benjamin Bratt"
Slingshot,"Sci-Fi, Thriller",Mikael Håfström,"Laurence Fishburne, Casey Affleck, David Morrissey, Emily Beecham"
Cinderella's Curse,"Drama, Fantasy, Horror",Louisa Warren,"Kelly Rian Sanson, Chrissie Wunna, Lauren Budd, Natasha Tosini"
Noroi,"Horror, Mystery, Thriller",Kôji Shiraishi,"Jin Muraki, Rio Kanno, Tomono Kuga, Marika Matsumoto"
Karusell,Horror,Simon Sandquist,"Wilma Lidén, Omar Rudberg, Amanda Lindh, Ludvig Deltin"
Night of the Demons,"Action, Comedy, Fantasy",Adam Gierasch,"Tatyana Kanavka, Michael Arata, Shannon Elizabeth, Linnea Quigley"
The Bob's Burgers Movie,"Animation, Adventure, Comedy",Loren Bouchard,"Bernard Derriman, H. Jon Benjamin, Kristen Schaal, Dan Mintz, John Roberts"
La mala educación,"Crime, Drama",Pedro Almodóvar,"Gael García Bernal, Fele Martínez, Javier Cámara, Daniel Giménez Cacho"
Batman: Mask of the Phantasm,"Animation, Action, Adventure",Kevin Altieri,"Boyd Kirkland, Frank Paur, Dan Riba, Eric Radomski, Bruce Timm, Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach"
Pacific Heights,Thriller,John Schlesinger,"Melanie Griffith, Matthew Modine, Michael Keaton, Mako"
Spacehunter: Adventures in the Forbidden Zone,"Action, Adventure, Sci-Fi",Lamont Johnson,"Peter Strauss, Molly Ringwald, Ernie Hudson, Andrea Marcovicci"
Costa!!,"Comedy, Drama",Jon Karthaus,"Abbey Hoes, Stephanie van Eer, Soy Kroon, Oscar Aerts"
Hope and Glory,"Comedy, Drama, Romance",John Boorman,"Sarah Miles, David Hayman, Sebastian Rice-Edwards, Geraldine Muir"
Life on the Line,"Action, Thriller",David Hackl,"John Travolta, Kate Bosworth, Devon Sawa, Gil Bellows"
Curtains,"Horror, Mystery, Thriller",Richard Ciupka,"John Vernon, Samantha Eggar, Linda Thorson, Anne Ditchburn"
Junction,Thriller,Bryan Greenberg,"Sophia Bush, Jamie Chung, Michaela Conlin, Griffin Dunne"
Théo et Hugo dans le même bateau,"Drama, Romance",Olivier Ducastel,"Jacques Martineau, Mario Fanfani, Geoffrey Couët, François Nambot, Bastien Gabriel"
Ghost of Tsushima,"Action, Adventure, Drama",Chad Stahelski,
House Party,Comedy,Calmatic,"Jacob Latimore, Tosin Cole, Karen Obilom, D.C. Young Fly"
Vanity Fair,Drama,Mira Nair,"Reese Witherspoon, Romola Garai, James Purefoy, Jonathan Rhys Meyers"
Fresh,"Crime, Drama, Thriller",Boaz Yakin,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson, N'Bushe Wright"
Bad Company,"Action, Comedy, Thriller",Joel Schumacher,"Anthony Hopkins, Chris Rock, Matthew Marsh, Gabriel Macht"
Pet,"Horror, Thriller",Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy, Da'Vone McDonald"
Harvey,"Comedy, Drama, Fantasy",Henry Koster,"James Stewart, Wallace Ford, William H. Lynn, Victoria Horne"
Uncle Frank,"Comedy, Drama",Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi, Steve Zahn"
Framed,"Crime, Drama, Film-Noir",Richard Wallace,"Glenn Ford, Janis Carter, Barry Sullivan, Edgar Buchanan"
Fatman,"Action, Adventure, Comedy",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield"
A Walk on the Moon,"Drama, Romance",Tony Goldwyn,"Diane Lane, Viggo Mortensen, Bobby Boriello, Anna Paquin"
The Cat in the Hat,"Animation, Adventure, Comedy",Alessandro Carloni,"Erica Rivinoja, Matt Berry, Bill Hader, Xochitl Gomez, Quinta Brunson"
Rupture,"Horror, Sci-Fi, Thriller",Steven Shainberg,"Noomi Rapace, Michael Chiklis, Kerry Bishé, Peter Stormare"
Wake Up,"Action, Horror",François Simard,"Anouk Whissell, Yoann-Karl Whissell, Turlough Convery, Benny O. Arthur, Jacqueline Moré, Tom Gould"
The Best Man Holiday,"Comedy, Drama",Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs"
Beauty and the Beast,"Drama, Fantasy, Romance",David Lister,"Estella Warren, Rhett Giles, Victor Parascos, Vanessa Gray"
Perverse oltre le sbarre,"Action, Crime, Drama",Gianni Siragusa,"Ajita Wilson, Rita Silva, Linda Jones, Alessandro Freyberger"
Wanted: Girlfriend,"Drama, Romance",Rember Gelera,"Shiena Yu, Yuki Sakamoto, Reina Castillo, Allan Villafuerte"
Dance Flick,"Action, Comedy, Music",Damien Dante Wayans,"Marlon Wayans, Shawn Wayans, Shoshana Bush, Damon Wayans Jr."
The Lunchbox,"Drama, Romance",Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",Woody Allen,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman"
Mi mejor amigo,"Drama, Romance",Martín Deus,"Ángelo Mutti Spinetta, Lautaro Rodríguez, Guillermo Pfening, Mariana Anghileri"
The Brass Teapot,"Comedy, Fantasy, Thriller",Ramaa Mosley,"Juno Temple, Michael Angarano, Alexis Bledel, Billy Magnussen"
Dick,Comedy,Andrew Fleming,"Kirsten Dunst, Michelle Williams, Dan Hedaya, Will Ferrell"
The Cincinnati Kid,Drama,Norman Jewison,"Sam Peckinpah, Steve McQueen, Ann-Margret, Edward G. Robinson, Karl Malden"
Dashcam,Horror,Rob Savage,"Annie Hardy, Amar Chadha-Patel, Angela Enahoro, Seylan Baxter"
Genie,"Comedy, Fantasy",Sam Boyd,"Melissa McCarthy, Paapa Essiedu, Denée Benton, Jordyn McIntosh"
